2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16385,"state":"CANDIDATE","term":43,"voteFor":"192.168.0.103:8848"}, term: 43

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19423,"state":"CANDIDATE","term":44,"voteFor":"192.168.0.103:8848"}, term: 44

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15944,"state":"CANDIDATE","term":45,"voteFor":"192.168.0.103:8848"}, term: 45

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19423,"state":"CANDIDATE","term":46,"voteFor":"192.168.0.103:8848"}, term: 46

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16332,"state":"CANDIDATE","term":47,"voteFor":"192.168.0.103:8848"}, term: 47

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15234,"state":"CANDIDATE","term":48,"voteFor":"192.168.0.103:8848"}, term: 48

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16253,"state":"CANDIDATE","term":49,"voteFor":"192.168.0.103:8848"}, term: 49

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16118,"state":"CANDIDATE","term":50,"voteFor":"192.168.0.103:8848"}, term: 50

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":17194,"state":"CANDIDATE","term":51,"voteFor":"192.168.0.103:8848"}, term: 51

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15471,"state":"CANDIDATE","term":52,"voteFor":"192.168.0.103:8848"}, term: 52

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19424,"state":"CANDIDATE","term":53,"voteFor":"192.168.0.103:8848"}, term: 53

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":18026,"state":"CANDIDATE","term":54,"voteFor":"192.168.0.103:8848"}, term: 54

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19303,"state":"CANDIDATE","term":55,"voteFor":"192.168.0.103:8848"}, term: 55

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":18462,"state":"CANDIDATE","term":56,"voteFor":"192.168.0.103:8848"}, term: 56

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":18893,"state":"CANDIDATE","term":57,"voteFor":"192.168.0.103:8848"}, term: 57

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16758,"state":"CANDIDATE","term":58,"voteFor":"192.168.0.103:8848"}, term: 58

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":18307,"state":"CANDIDATE","term":59,"voteFor":"192.168.0.103:8848"}, term: 59

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19820,"state":"CANDIDATE","term":60,"voteFor":"192.168.0.103:8848"}, term: 60

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19863,"state":"CANDIDATE","term":61,"voteFor":"192.168.0.103:8848"}, term: 61

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":18286,"state":"CANDIDATE","term":62,"voteFor":"192.168.0.103:8848"}, term: 62

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16949,"state":"CANDIDATE","term":63,"voteFor":"192.168.0.103:8848"}, term: 63

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15707,"state":"CANDIDATE","term":64,"voteFor":"192.168.0.103:8848"}, term: 64

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16372,"state":"CANDIDATE","term":65,"voteFor":"192.168.0.103:8848"}, term: 65

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":17085,"state":"CANDIDATE","term":66,"voteFor":"192.168.0.103:8848"}, term: 66

2022-05-03 00:01:26,601 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19491,"state":"CANDIDATE","term":67,"voteFor":"192.168.0.103:8848"}, term: 67

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":17691,"state":"CANDIDATE","term":68,"voteFor":"192.168.0.103:8848"}, term: 68

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16670,"state":"CANDIDATE","term":69,"voteFor":"192.168.0.103:8848"}, term: 69

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15193,"state":"CANDIDATE","term":70,"voteFor":"192.168.0.103:8848"}, term: 70

